iter	Passed	Remaining
0	47	47848
1	49	24497
2	50	16759
3	51	12820
4	52	10470
5	52	8763
6	53	7549
7	53	6633
8	53	5930
9	54	5360
10	54	4901
11	54	4511
12	55	4183
13	55	3900
14	55	3654
15	55	3439
16	56	3253
17	56	3086
18	56	2935
19	57	2798
20	57	2675
21	57	2563
22	57	2462
23	58	2368
24	58	2282
25	58	2202
26	59	2128
27	59	2060
28	59	1995
29	59	1936
30	60	1880
31	60	1827
32	60	1779
33	60	1732
34	61	1688
35	61	1647
36	61	1608
37	62	1572
38	62	1537
39	62	1503
40	62	1472
41	63	1441
42	63	1413
43	63	1385
44	64	1358
45	64	1333
46	64	1309
47	64	1286
48	65	1263
49	65	1242
50	65	1221
51	65	1202
52	66	1183
53	66	1165
54	66	1147
55	67	1130
56	67	1113
57	67	1097
58	67	1082
59	68	1067
60	68	1053
61	68	1039
62	69	1026
63	69	1013
64	69	1001
65	69	989
66	70	977
67	70	964
68	70	954
69	71	943
70	71	933
71	71	922
72	71	912
73	72	902
74	72	893
75	72	883
76	72	874
77	73	866
78	73	860
79	74	852
80	74	844
81	74	836
82	74	828
83	75	820
84	75	811
85	75	804
86	75	796
87	76	789
88	76	782
89	76	775
90	76	769
91	77	762
92	77	756
93	77	750
94	78	743
95	78	737
96	78	732
97	78	726
98	79	720
99	79	714
100	79	709
101	79	703
102	80	697
103	80	692
104	80	687
105	80	682
106	81	677
107	81	672
108	82	674
109	82	670
110	83	668
111	83	664
112	84	659
113	84	655
114	84	651
115	84	646
116	85	642
117	85	639
118	85	634
119	86	631
120	86	627
121	86	623
122	86	619
123	87	615
124	87	612
125	87	608
126	88	605
127	88	600
128	88	597
129	88	594
130	89	590
131	89	587
132	90	588
133	90	584
134	90	581
135	90	578
136	91	574
137	91	571
138	92	573
139	92	570
140	93	567
141	93	564
142	93	561
143	94	559
144	94	556
145	94	553
146	95	552
147	95	549
148	95	546
149	95	543
150	96	540
151	96	538
152	96	535
153	97	533
154	97	530
155	97	528
156	97	525
157	98	523
158	100	529
159	100	526
160	100	524
161	100	522
162	101	519
163	101	517
164	101	515
165	102	517
166	103	514
167	103	512
168	103	510
169	104	508
170	104	505
171	104	503
172	104	501
173	105	499
174	105	496
175	105	494
176	105	492
177	106	490
178	106	488
179	106	486
180	106	483
181	107	481
182	107	479
183	107	477
184	108	475
185	108	474
186	109	474
187	109	472
188	109	470
189	110	469
190	110	467
191	110	465
192	110	463
193	111	462
194	111	460
195	111	458
196	112	457
197	112	455
198	112	453
199	113	453
200	113	451
201	113	449
202	114	449
203	114	448
204	115	448
205	116	447
206	116	445
207	116	443
208	116	442
209	117	440
210	118	441
211	118	440
212	118	438
213	118	437
214	119	435
215	119	433
216	119	432
217	120	430
218	120	429
219	120	427
220	120	426
221	121	424
222	121	423
223	121	421
224	122	420
225	122	418
226	122	417
227	122	415
228	123	414
229	123	413
230	123	411
231	123	410
232	124	408
233	124	407
234	124	406
235	125	404
236	125	403
237	125	402
238	125	400
239	126	399
240	126	398
241	126	396
242	126	395
243	127	394
244	127	393
245	128	393
246	128	392
247	129	391
248	129	390
249	129	389
250	130	388
251	130	387
252	131	387
253	131	386
254	131	385
255	132	384
256	132	383
257	132	381
258	133	380
259	133	379
260	133	378
261	133	377
262	134	376
263	134	374
264	134	373
265	135	372
266	135	371
267	135	370
268	135	369
269	136	368
270	136	366
271	136	365
272	136	364
273	137	363
274	137	362
275	137	361
276	138	360
277	138	359
278	138	358
279	138	356
280	139	355
281	139	354
282	141	357
283	141	356
284	141	355
285	141	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	146	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	150	327
314	150	326
315	150	325
316	150	324
317	151	324
318	151	323
319	151	322
320	151	321
321	152	320
322	152	319
323	152	318
324	152	317
325	153	316
326	153	315
327	153	315
328	154	314
329	154	313
330	154	312
331	154	311
332	155	310
333	155	309
334	155	309
335	156	308
336	156	307
337	156	306
338	156	305
339	157	305
340	157	304
341	157	303
342	158	302
343	158	302
344	158	301
345	158	300
346	159	299
347	159	298
348	159	298
349	160	297
350	160	296
351	160	295
352	160	295
353	161	294
354	161	293
355	161	292
356	162	291
357	162	291
358	162	290
359	162	289
360	163	288
361	163	288
362	163	287
363	164	286
364	164	285
365	164	285
366	164	284
367	165	283
368	165	283
369	165	282
370	166	281
371	166	280
372	166	280
373	167	279
374	167	278
375	167	278
376	167	277
377	168	276
378	168	275
379	168	275
380	168	274
381	169	273
382	169	273
383	169	272
384	170	271
385	170	271
386	170	270
387	170	269
388	171	268
389	171	268
390	171	267
391	172	266
392	172	266
393	172	265
394	172	264
395	173	264
396	173	263
397	173	262
398	174	262
399	174	261
400	174	260
401	175	260
402	175	259
403	175	259
404	175	258
405	176	257
406	176	257
407	176	256
408	177	255
409	177	255
410	177	254
411	177	254
412	178	253
413	178	252
414	178	252
415	179	251
416	179	250
417	179	250
418	180	249
419	180	249
420	180	248
421	180	247
422	181	247
423	181	246
424	181	246
425	182	245
426	182	244
427	182	244
428	183	243
429	183	242
430	183	242
431	183	241
432	184	241
433	184	240
434	184	239
435	184	239
436	185	238
437	185	237
438	185	237
439	185	236
440	186	236
441	186	236
442	187	235
443	187	235
444	188	234
445	188	234
446	188	233
447	189	233
448	189	232
449	189	232
450	190	231
451	190	231
452	190	230
453	191	229
454	191	229
455	191	228
456	192	228
457	192	227
458	192	226
459	192	226
460	193	225
461	193	225
462	193	224
463	193	224
464	194	223
465	194	222
466	194	222
467	195	221
468	195	221
469	195	220
470	195	219
471	196	219
472	196	218
473	196	218
474	196	217
475	197	217
476	197	216
477	197	216
478	198	215
479	198	214
480	198	214
481	198	213
482	199	213
483	199	212
484	199	212
485	200	211
486	200	211
487	200	210
488	200	209
489	201	209
490	201	208
491	201	208
492	202	207
493	202	207
494	202	206
495	203	206
496	203	205
497	203	205
498	204	204
499	204	204
500	204	203
501	204	203
502	205	202
503	205	202
504	205	201
505	205	201
506	206	200
507	206	200
508	206	199
509	207	198
510	207	198
511	207	197
512	207	197
513	208	196
514	208	196
515	208	195
516	209	195
517	209	194
518	209	194
519	209	193
520	210	193
521	210	192
522	210	192
523	210	191
524	211	191
525	211	190
526	211	190
527	212	189
528	212	189
529	212	188
530	212	188
531	213	187
532	213	187
533	213	186
534	213	185
535	214	185
536	214	184
537	214	184
538	215	183
539	215	183
540	215	182
541	215	182
542	216	182
543	216	181
544	216	181
545	217	180
546	217	180
547	217	179
548	218	179
549	218	178
550	218	178
551	219	177
552	219	177
553	219	176
554	220	176
555	220	175
556	220	175
557	220	174
558	221	174
559	221	173
560	221	173
561	221	172
562	222	172
563	222	171
564	222	171
565	223	171
566	223	170
567	223	170
568	223	169
569	224	169
570	224	168
571	224	168
572	224	167
573	225	167
574	225	166
575	225	166
576	226	165
577	226	165
578	226	164
579	226	164
580	227	163
581	227	163
582	227	162
583	227	162
584	228	161
585	228	161
586	228	161
587	229	160
588	229	160
589	229	159
590	229	159
591	230	158
592	230	158
593	230	157
594	231	157
595	231	156
596	231	156
597	231	155
598	232	155
599	232	154
600	232	154
601	233	154
602	233	153
603	233	153
604	233	152
605	234	152
606	234	151
607	234	151
608	234	150
609	235	150
610	235	149
611	235	149
612	236	149
613	236	148
614	236	148
615	236	147
616	237	147
617	237	146
618	237	146
619	237	145
620	238	145
621	238	144
622	238	144
623	239	144
624	239	143
625	239	143
626	239	142
627	240	142
628	240	141
629	240	141
630	240	140
631	241	140
632	241	139
633	241	139
634	241	139
635	242	138
636	242	138
637	242	137
638	243	137
639	243	136
640	243	136
641	243	135
642	244	135
643	244	135
644	244	134
645	244	134
646	245	133
647	245	133
648	245	132
649	246	132
650	246	132
651	246	131
652	246	131
653	247	130
654	247	130
655	247	129
656	248	129
657	248	129
658	248	128
659	248	128
660	249	127
661	249	127
662	249	126
663	250	126
664	250	126
665	250	125
666	250	125
667	251	124
668	251	124
669	251	123
670	251	123
671	252	123
672	252	122
673	252	122
674	253	121
675	253	121
676	253	121
677	253	120
678	254	120
679	254	119
680	254	119
681	254	118
682	255	118
683	255	118
684	255	117
685	256	117
686	256	116
687	256	116
688	256	115
689	257	115
690	257	115
691	257	114
692	258	114
693	258	113
694	258	113
695	258	113
696	259	112
697	259	112
698	259	111
699	259	111
700	260	111
701	260	110
702	260	110
703	261	109
704	261	109
705	261	108
706	261	108
707	262	108
708	262	107
709	262	107
710	262	106
711	263	106
712	263	106
713	263	105
714	264	105
715	264	104
716	264	104
717	264	104
718	265	103
719	265	103
720	265	102
721	266	102
722	266	102
723	266	101
724	266	101
725	267	100
726	267	100
727	267	100
728	267	99
729	268	99
730	268	98
731	268	98
732	269	98
733	269	97
734	269	97
735	269	96
736	270	96
737	270	96
738	270	95
739	271	95
740	271	94
741	271	94
742	271	94
743	272	93
744	272	93
745	272	92
746	273	92
747	273	92
748	273	91
749	273	91
750	274	90
751	274	90
752	274	90
753	274	89
754	275	89
755	275	88
756	275	88
757	276	88
758	276	87
759	276	87
760	276	86
761	277	86
762	277	86
763	277	85
764	278	85
765	278	85
766	278	84
767	278	84
768	279	83
769	279	83
770	279	83
771	280	82
772	280	82
773	280	81
774	280	81
775	281	81
776	281	80
777	281	80
778	281	79
779	282	79
780	282	79
781	282	78
782	283	78
783	283	78
784	283	77
785	283	77
786	284	76
787	284	76
788	284	76
789	285	75
790	285	75
791	285	74
792	285	74
793	286	74
794	286	73
795	286	73
796	286	73
797	287	72
798	287	72
799	287	71
800	288	71
801	288	71
802	288	70
803	288	70
804	289	70
805	289	69
806	289	69
807	289	68
808	290	68
809	290	68
810	290	67
811	291	67
812	291	67
813	291	66
814	291	66
815	292	65
816	292	65
817	292	65
818	292	64
819	293	64
820	293	63
821	293	63
822	293	63
823	294	62
824	294	62
825	294	62
826	295	61
827	295	61
828	295	60
829	295	60
830	296	60
831	296	59
832	296	59
833	296	59
834	297	58
835	297	58
836	297	58
837	298	57
838	298	57
839	298	56
840	298	56
841	299	56
842	299	55
843	299	55
844	300	55
845	300	54
846	300	54
847	300	53
848	301	53
849	301	53
850	301	52
851	301	52
852	302	52
853	302	51
854	302	51
855	303	50
856	303	50
857	303	50
858	303	49
859	304	49
860	304	49
861	304	48
862	304	48
863	305	48
864	305	47
865	305	47
866	306	46
867	306	46
868	306	46
869	307	45
870	307	45
871	307	45
872	307	44
873	308	44
874	308	44
875	308	43
876	308	43
877	309	42
878	309	42
879	309	42
880	310	41
881	310	41
882	310	41
883	310	40
884	311	40
885	311	40
886	311	39
887	312	39
888	312	38
889	312	38
890	312	38
891	313	37
892	313	37
893	313	37
894	313	36
895	314	36
896	314	36
897	314	35
898	315	35
899	315	35
900	315	34
901	315	34
902	316	33
903	316	33
904	316	33
905	316	32
906	317	32
907	317	32
908	317	31
909	318	31
910	318	31
911	318	30
912	318	30
913	319	30
914	319	29
915	319	29
916	319	28
917	320	28
918	321	28
919	321	27
920	321	27
921	322	27
922	322	26
923	322	26
924	323	26
925	323	25
926	323	25
927	323	25
928	324	24
929	324	24
930	324	24
931	324	23
932	325	23
933	325	22
934	325	22
935	325	22
936	326	21
937	326	21
938	326	21
939	327	20
940	327	20
941	327	20
942	327	19
943	328	19
944	328	19
945	328	18
946	328	18
947	329	18
948	329	17
949	329	17
950	330	17
951	330	16
952	330	16
953	330	15
954	331	15
955	331	15
956	331	14
957	332	14
958	332	14
959	332	13
960	332	13
961	333	13
962	333	12
963	333	12
964	334	12
965	334	11
966	334	11
967	335	11
968	335	10
969	335	10
970	335	10
971	336	9
972	336	9
973	336	8
974	337	8
975	337	8
976	337	7
977	338	7
978	338	7
979	338	6
980	339	6
981	339	6
982	339	5
983	339	5
984	340	5
985	340	4
986	340	4
987	341	4
988	341	3
989	341	3
990	342	3
991	342	2
992	342	2
993	343	2
994	343	1
995	343	1
996	343	1
997	344	0
998	344	0
999	344	0
